代號,名稱,掛牌最高,掛牌最低
20591,川湖一,121,90.5
20592,川湖二,210,99
20611,風青一,191,110
20612,風青二,136.9,99.7
20631,世鎧一,123.5,99.65
20632,世鎧二,117.2,98
20651,世豐一,165,100.6
20652,世豐二,134.95,99.5
20661,世德一,250,106
20662,世德二,156,95
20691,運錩一,189,106.3
20692,運錩二,177,100.15
20693,運錩三,105.9,94.7
20694,運錩四,123.05,94.05
21011,南港一,136,99.45
21031,中橡二,245,101.5
21043,國際中橡三,106.4,94.05
21071,厚生一,194,99.9
21091,華豐一,145.8,100
21141,鑫永一,258,81.5
21151,六暉一KY,116.9,95
22012,裕隆二,152,99.7
22013,裕隆三,118.45,94
22043,中華三,105.3,92.55
22081,台船一,151,99.55
22281,劍麟一,200,102
22282,劍麟二,117.45,99
22283,劍麟三,152,106
22301,泰茂一,112,98.5
22302,泰茂二,117.8,99.85
22303,泰茂三,107,99.15
22304,泰茂四,470,121.45
22311,為升一,522,107
22312,為升二,158,100.6
22313,為升三,134.3,98.6
22331,宇隆一,153,111.1
22361,百達一KY,125,99.8
22362,百達二KY,215,104
22363,百達三K,111,90.5
22391,英利一KY,119.9,99.1
22392,英利二KY,108.5,96.8
22393,英利三KY,130,99.5
22431,宏旭一KY,134,80.6
22471,汎德一,118.5,100
22472,汎德二,119.95,100.5
22501,IKKA一KY,185,100.2
23131,華通一,117,112
23132,華通二    ,165,99
23133,華通三    ,179,96.5
23141,台揚一,116,82
23142,台揚二,153,104
23171,鴻海一,113.5,94.5
23291,華泰一,135.7,112.2
23323,友訊三,108.8,93.1
23331,碧悠一,113.5,98.5
23371,旺宏一,184,87
23372,旺宏二,702,87
23382,光罩二,117.5,97.9
23383,光罩三,132.5,92.7
23401,光磊二,154,67
23471,聯強一,149.9,79
23472,聯強二,104.8,97
23481,海悅一,208,109
23511,順德一,235,102.2
23521,明碁一,100,99
23532,宏碁二,105,92.55
23541,鴻準一,114.1,81.75
23551,敬鵬一,156,100
23571,華碩一,120.5,94.4
23581,廷鑫一,118.5,96.35
23601,致茂一,100,99.5
23602,致茂二,309,100
23651,昆盈一,117.5,97
23652,昆盈二,115.2,99.9
23671,燿華一,253,105
23672,燿華二,263,104.05
23681,金像電一,153,104
23682,金像電二,323,99.5
23683,金像電三,323,124.15
23691,菱生一,177,91.3
23692,菱生二,187,79.65
23711,大同一,161,92.5
23712,大同二,122.35,87.15
23741,佳能一,109.6,98.1
23742,佳能二,130,109
23772,微星二,110,71
23791,瑞昱一,146,126
23831,台光電一,280,62
23832,台光電二,214,80
23833,台光電三,246,100
23834,台光電四,166,100.4
23835,台光電五,388,97
23836,台光電六,230,101.75
23837,台光電七,224,105
23841,勝華一,133,113.5
23851,群光一,169,83
23881,威盛一,122,103.8
23891,世昕一,115,92.5
23901,云辰一,109.1,108.4
23921,正崴一,110.1,92.05
23932,億光二,169,93
23933,億光三,130.45,79.25
23934,億光四,120.7,101.3
23935,億光五,120.1,97.9
23936,億光六,101.2,95
23952,研華二,274,104
23981,博達一,112.9,88.2
24021,毅嘉一,188,130
24022,毅嘉二,106.45,94.2
24023,毅嘉三,160,102.65
24061,國碩一,123,98.55
24062,國碩二,184,100
24063,國碩三,183,100.15
24064,國碩四,113.6,101.5
24071,陞技一,127.4,42.9
24081,南科一,109.5,97
24091,友達一,316,216
24092,友達二,112.5,95.75
24093,友達三,167,85
24131,環科一,124.4,109.5
24141,精技一,184,82
24151,錩新一,122.4,86.3
24172,圓剛二,229,99
24182,雅新二,258,206
24183,雅新三,214,146
24191,仲琦一,120,102.5
24192,仲琦二,194,105
24193,仲琦三,152,99.05
24194,仲琦四,134.2,105
24212,建準二,155,99.5
24213,建準三,289,127.05
24241,隴華一,185,107
24261,鼎元一,147.95,108
24262,鼎元二,206,107
24263,鼎元三,207,103
24264,鼎元四,197,102.5
24265,鼎元五,196,102.5
24266,鼎元六,134.1,99
24267,鼎元七,136,101
24268,鼎元八,162,107
24271,三商電一,132,96.1
24281,興勤一,153,100.1
24282,興勤二,252,82.5
24283,興勤三,152,98.4
24341,統懋一,118.6,108
24342,統懋二,111,61.5
24361,偉詮電一,149,98.9
24371,旺詮一,140.5,100.5
24391,美律一,239,95.8
24392,美律二,130.8,99.15
24393,美律三,140.1,97
24394,美律四,117.65,100
24395,美律五,119.65,100.05
24401,太空一,150,77.6
24411,超豐一,203,97.35
24421,美齊一,109.2,78.2
24422,新美齊二,158,104.05
24423,新美齊三,112.5,91
24424,新美齊四,111.3,90.45
24441,友旺一,113,45.25
24442,友旺二,287,100.05
24461,全懋一,254,147
24471,鼎新一,201,99
24481,晶電一,194,107
24482,晶電二,185,118.5
24483,晶電三,119.9,86.4
24501,神腦一,120,96.85
24511,創見一,184,92.1
